"name","member_id","year","assembly","party","camp","seniority","n_seminars","n_cross_party","cross_party_ratio","avg_coalition_size","is_governing","is_female","is_proportional","is_seoul","province","total_terms","n_bills_led"
"강봉균","7PU7009N",2008,18,"민주당","민주계",2,1,0,0,2,FALSE,FALSE,FALSE,FALSE,"전라북",2,12
"강봉균","7PU7009N",2009,18,"민주당","민주계",2,1,1,1,3,FALSE,FALSE,FALSE,FALSE,"전라북",2,12
"강봉균","7PU7009N",2010,18,"민주당","민주계",2,2,0,0,2,FALSE,FALSE,FALSE,FALSE,"전라북",2,12
"강봉균","7PU7009N",2011,18,"민주당","민주계",2,2,0,0,1.5,FALSE,FALSE,FALSE,FALSE,"전라북",2,12
"강석진","IH436704",2016,20,"새누리당","보수계",1,3,0,0,1,TRUE,FALSE,FALSE,FALSE,"경남",1,53
"강석진","IH436704",2017,20,"자유한국당","보수계",1,5,3,0.6,6.2,FALSE,FALSE,FALSE,FALSE,"경남",1,53
"강석진","IH436704",2018,20,"자유한국당","보수계",1,4,1,0.25,9.5,FALSE,FALSE,FALSE,FALSE,"경남",1,53
"강석진","IH436704",2019,20,"자유한국당","보수계",1,10,5,0.5,6.3,FALSE,FALSE,FALSE,FALSE,"경남",1,53
"강석호","8I61593E",2008,18,"한나라당","보수계",1,3,1,0.3333,8.33,TRUE,FALSE,FALSE,FALSE,"경북",3,19
"강석호","8I61593E",2009,18,"한나라당","보수계",1,1,0,0,1,TRUE,FALSE,FALSE,FALSE,"경북",3,19
"강석호","8I61593E",2010,18,"한나라당","보수계",1,1,0,0,1,TRUE,FALSE,FALSE,FALSE,"경북",3,19
"강석호","8I61593E",2011,18,"한나라당","보수계",1,3,0,0,1,TRUE,FALSE,FALSE,FALSE,"경북",3,19
"강석호","8I61593E",2013,19,"새누리당","보수계",2,2,0,0,1,TRUE,FALSE,FALSE,FALSE,"경북",3,41
"강석호","8I61593E",2015,19,"새누리당","보수계",2,3,1,0.3333,2,TRUE,FALSE,FALSE,FALSE,"경북",3,41
"강석호","8I61593E",2016,20,"새누리당","보수계",3,4,0,0,1,TRUE,FALSE,FALSE,FALSE,"경북",3,43
"강석호","8I61593E",2017,20,"자유한국당","보수계",3,1,0,0,1,FALSE,FALSE,FALSE,FALSE,"경북",3,43
"강석호","8I61593E",2018,20,"자유한국당","보수계",3,5,0,0,1,FALSE,FALSE,FALSE,FALSE,"경북",3,43
"강석호","8I61593E",2019,20,"자유한국당","보수계",3,8,5,0.625,11.62,FALSE,FALSE,FALSE,FALSE,"경북",3,43
"강석호",NA,2020,21,"미래통합당","기타",4,1,0,0,2,FALSE,FALSE,FALSE,FALSE,"경북",3,0
"강석훈","ZX891805",2012,19,"새누리당","보수계",1,1,0,0,3,TRUE,FALSE,FALSE,TRUE,"서울",1,27
"강석훈","ZX891805",2014,19,"새누리당","보수계",1,5,0,0,1.6,TRUE,FALSE,FALSE,TRUE,"서울",1,27
"강석훈","ZX891805",2015,19,"새누리당","보수계",1,8,2,0.25,1.75,TRUE,FALSE,FALSE,TRUE,"서울",1,27
"강선영","NQO7187X",2024,22,"국민의힘","보수계",NA,6,3,0.5,22.83,TRUE,NA,NA,NA,NA,NA,41
"강선영","NQO7187X",2025,22,"국민의힘","보수계",NA,14,5,0.3571,16.43,TRUE,NA,NA,NA,NA,NA,41
"강선우","MNZ4401T",2020,21,"더불어민주당","민주계",1,29,15,0.5172,21.97,TRUE,TRUE,FALSE,TRUE,"서울",1,133
"강선우","MNZ4401T",2021,21,"더불어민주당","민주계",1,37,25,0.6757,19.43,TRUE,TRUE,FALSE,TRUE,"서울",1,133
"강선우","MNZ4401T",2022,21,"더불어민주당","민주계",1,38,25,0.6579,20.61,FALSE,TRUE,FALSE,TRUE,"서울",1,133
"강선우","MNZ4401T",2023,21,"더불어민주당","민주계",1,38,19,0.5,22.68,FALSE,TRUE,FALSE,TRUE,"서울",1,133
"강선우","MNZ4401T",2024,22,"더불어민주당","민주계",2,32,10,0.3125,23.56,FALSE,TRUE,FALSE,TRUE,"서울",1,51
"강선우","MNZ4401T",2025,22,"더불어민주당","민주계",2,34,9,0.2647,19.79,FALSE,TRUE,FALSE,TRUE,"서울",1,51
"강성종","2ML68608",2005,17,"민주당","민주계",1,2,0,0,2,TRUE,FALSE,FALSE,FALSE,"경기",2,12
"강성종","2ML68608",2007,17,"민주당","민주계",1,1,1,1,4,TRUE,FALSE,FALSE,FALSE,"경기",2,12
"강성종","2ML68608",2008,18,"민주당","민주계",2,2,1,0.5,2.5,FALSE,FALSE,FALSE,FALSE,"경기",2,3
"강성종","2ML68608",2009,18,"민주당","민주계",2,1,1,1,6,FALSE,FALSE,FALSE,FALSE,"경기",2,3
"강성종","2ML68608",2011,18,"민주당","민주계",2,1,0,0,7,FALSE,FALSE,FALSE,FALSE,"경기",2,3
"강성천","H8S93115",2008,18,"한나라당","보수계",1,4,0,0,3,TRUE,FALSE,TRUE,FALSE,"비례대",1,33
"강성천","H8S93115",2009,18,"한나라당","보수계",1,4,0,0,1.25,TRUE,FALSE,TRUE,FALSE,"비례대",1,33
"강성천","H8S93115",2010,18,"한나라당","보수계",1,10,2,0.2,2.3,TRUE,FALSE,TRUE,FALSE,"비례대",1,33
"강성천","H8S93115",2011,18,"한나라당","보수계",1,2,0,0,1,TRUE,FALSE,TRUE,FALSE,"비례대",1,33
"강성희","6FS10566",2023,21,"진보당","기타",1,34,17,0.5,8.09,FALSE,FALSE,FALSE,FALSE,"전북",1,11
"강성희",NA,2024,22,"진보당","기타",2,13,7,0.5385,3.77,FALSE,FALSE,FALSE,FALSE,"전북",1,0
"강승규","42K7317Y",2008,18,"한나라당","보수계",1,3,0,0,1.33,TRUE,FALSE,FALSE,TRUE,"서울",1,25
"강승규","42K7317Y",2009,18,"한나라당","보수계",1,6,1,0.1667,1.83,TRUE,FALSE,FALSE,TRUE,"서울",1,25
"강승규","42K7317Y",2010,18,"한나라당","보수계",1,4,0,0,4.75,TRUE,FALSE,FALSE,TRUE,"서울",1,25
"강승규","42K7317Y",2011,18,"한나라당","보수계",1,2,0,0,1.5,TRUE,FALSE,FALSE,TRUE,"서울",1,25
"강승규","42K7317Y",2024,22,"국민의힘","보수계",5,4,1,0.25,7.25,TRUE,FALSE,FALSE,TRUE,"서울",1,23
"강승규","42K7317Y",2025,22,"국민의힘","보수계",5,4,1,0.25,2.25,TRUE,FALSE,FALSE,TRUE,"서울",1,23
"강용석","P2G3854D",2008,18,"한나라당","보수계",1,1,0,0,2,TRUE,FALSE,FALSE,TRUE,"서울",1,4
"강용석","P2G3854D",2009,18,"한나라당","보수계",1,1,0,0,2,TRUE,FALSE,FALSE,TRUE,"서울",1,4
"강용석","P2G3854D",2010,18,"한나라당","보수계",1,1,0,0,10,TRUE,FALSE,FALSE,TRUE,"서울",1,4
"강유정","Q129715Y",2024,22,"더불어민주당","민주계",1,13,1,0.0769,18.08,FALSE,TRUE,TRUE,FALSE,"비례대",1,33
"강유정","Q129715Y",2025,22,"더불어민주당","민주계",1,16,1,0.0625,7,FALSE,TRUE,TRUE,FALSE,"비례대",1,33
"강은미","WMG57662",2020,21,"정의당","진보계",1,34,26,0.7647,7.68,FALSE,TRUE,TRUE,FALSE,"비례대",1,91
"강은미","WMG57662",2021,21,"정의당","진보계",1,43,26,0.6047,5.44,FALSE,TRUE,TRUE,FALSE,"비례대",1,91
"강은미","WMG57662",2022,21,"정의당","진보계",1,58,47,0.8103,9.6,FALSE,TRUE,TRUE,FALSE,"비례대",1,91
