"member_id","assembly","name","name_hanja","name_eng","party","party_elected","district","district_type","committees","gender","birth_date","seniority","n_bills","n_bills_lead"
"9UW75767",20,"김성태","金成泰","KIM SEANGTAE","자유한국당","새누리당","비례대표","proportional","4차 산업혁명 특별위원회, 헌법개정 및 정치개혁 특별위원회, 4차 산업혁명 특별위원회, 과학기술정보방송통신위원회, 헌법개정 특별위원회, 미래일자리 특별위원회, 미래창조과학방송통신위원회, 윤리특별위원회","M",1954-07-24,1,538,23
"BQS2021C",20,"김성태","金聖泰","KIM SUNGTAE","새누리당","새누리당","서울 강서구을","constituency","행정안전위원회, 국방위원회, 문화체육관광위원회, 외교통일위원회, 국회운영위원회, 정보위원회, 박근혜 정부의 최순실 등 민간인에 의한 국정농단 의혹사건 진상규명을 위한 국정조사특별위원회, 국토교통위원회","M",1958-05-23,3,418,29
"XSP20229",20,"김성환","金星煥","KIM SUNGWHAN","더불어민주당","더불어민주당","서울 노원구병","constituency","산업통상자원중소벤처기업위원회","M",1965-10-15,3,101,12
"2WQ6656P",20,"김세연","金世淵","KIM SEYEON","자유한국당","새누리당","부산 금정구","constituency","4차 산업혁명 특별위원회, 보건복지위원회, 4차 산업혁명 특별위원회, 국회운영위원회, 정치발전 특별위원회, 교육문화체육관광위원회","M",1972-07-15,3,480,35
"5K343700",20,"김수민","金秀玟","KIM SUMIN","바른미래당","국민의당","비례대표","proportional","국회운영위원회, 예산결산특별위원회, 문화체육관광위원회, 국토교통위원회, 여성가족위원회, 4차 산업혁명 특별위원회, 산업통상자원중소벤처기업위원회, 산업통상자원위원회","F",1986-12-25,1,1242,79
"7KD2317D",20,"김순례","金順禮","KIM SOONRYE","자유한국당","새누리당","비례대표","proportional","국회 코로나19 대책 특별위원회, 국회운영위원회, 환경노동위원회, 남북관계개선 특별위원회, 보건복지위원회, 여성가족위원회","F",1955-06-27,1,512,48
"8WC7967F",20,"김승희","金承禧","KIM SEUNGHEE","자유한국당","새누리당","비례대표","proportional","국회 코로나19 대책 특별위원회, 대법관(김상환) 임명동의에 관한 인사청문특별위원회, 윤리특별위원회, 대법관(김선수·노정희·이동원) 임명동의에 관한 인사청문특별위원회, 예산결산특별위원회, 국회운영위원회, 미세먼지 대책 특별위원회, 여성가족위원회, 민생경제 특별위원회, 보건복지위원회, 안전행정위원회","F",1954-02-06,1,1117,167
"PLR62452",20,"김영우","金榮宇","KIM YOUNGWOO","자유한국당","새누리당","경기 포천시가평군","constituency","행정안전위원회, 국방위원회","M",1967-01-20,3,371,21
"0W194007",20,"김영주","金榮珠","KIM YOUNGJOO","더불어민주당","더불어민주당","서울 영등포구갑","constituency","","F",1955-07-27,4,741,49
"5765663F",20,"김영진","金榮鎭","KIM YOUNGJIN","더불어민주당","더불어민주당","경기 수원시병","constituency","정보위원회, 재정경제기획위원회","M",1967-09-10,3,1092,95
"TWL5801D",20,"김영춘","金榮春","KIM YOUNGCHOON","더불어민주당","더불어민주당","부산 부산진구갑","constituency","문화체육관광위원회, 국방위원회, 과학기술정보방송통신위원회, 행정안전위원회, 안전행정위원회, 농림축산식품해양수산위원회","M",1962-02-05,3,686,49
"7BM2933Y",20,"김영호","金映豪","KIM YOUNGHO","더불어민주당","더불어민주당","서울 서대문구을","constituency","교육위원회","M",1967-09-13,3,1157,87
"AMF4093D",20,"김용태","金容兌","KIM YONGTAE","자유한국당","새누리당","서울 양천구을","constituency","국무총리(이낙연) 임명동의에 관한 인사청문특별위원회, 정무위원회","M",1968-03-26,3,463,22
