assembly,name,member_id
2,전진한,WGG9113S
2,정기원,U9P5175A
2,정남국,KUW1887Q
2,정문흠,ONF9011U
2,정순조,Q1U6515A
2,정인식,DUA4868H
2,정일형,Q699375L
2,정재완,Q5O2470M
2,정헌조,VXE7857Z
2,정헌주,ENI83018
2,조경규,8PS6768V
2,조광섭,L7Y6808F
2,조규설,D2T1162U
2,조대연,XZL2001D
2,조병문,F1818051
2,조봉암,SE215159
2,조소앙,R1D9657U
2,조순,Z663618L
2,조시원,GAZ8839H
2,조정훈,JLG2988G
2,조종승,A0J46751
2,조주영,GJZ52443
2,조헌영,Y6N86498
2,지연해,F782778U
2,지청천,06B3741H
2,최국현,WVK51145
2,최면수,5142865D
2,최병주,FA61794M
2,최성웅,U1Z7120P
2,최원봉,5FS4155K
2,최원수,63O72988
2,최원호,GJR3977U
2,최윤호,ME94446K
2,최주일,8Y95884B
2,최헌길,LF11072P
2,태완선,ND45841V
2,하만복,CLX1348B
2,한국원,1292624I
2,한필수,PBQ1885T
2,홍길선,MZO9983Y
2,홍익표,3AA37867
2,홍창섭,8RQ4116H
2,황병규,HHZ7403J
2,황성수,F5A5259M
3,강경옥,85N15546
3,강봉옥,8L91524A
3,강세형,SEU6473L
3,강승구,YN67326D
3,곽상훈,7GP9235Q
3,곽의영,V8A6249O
3,구흥남,JYI19502
3,권오종,8MI34542
3,권중돈,L7X5327D
3,김기철,T5W7400K
3,김달수,ST04308D
3,김달호,7QV5416L
3,김도연,02E7012K
3,김동욱,PVZ78650
3,김두진,CEL9780D
3,김두한,JCX7039R
3,김법린,AH95654W
3,김병순,9HG7146S
3,김병철,KL98005I
3,김보영,YBR6048H
3,김상도,9AH17628
3,김상돈,B5N4494M
3,김상현,LEY4181T
3,김석호,UA065375
3,김선우,QZ24460V
3,김선태,9AY9596P
3,김성복,W0O2291A
3,김성삼,1PN4709A
3,김성호,JBY5407C
3,김수선,GV84780I
3,김영삼,PB86833Y
3,김영상,4Q83891Y
3,김영선,H3L2284Y
3,김우동,A3G7464L
3,김원규,OM981305
3,김의준,FY962400
3,김의택,QHN2542J
3,김익기,Q0G1675P
3,김익노,ALP55797
3,김일,AD642396
3,김재곤,5GF49809
3,김재황,PL554977
3,김정호,P9Y4227X
3,김종규,KIY2506B
3,김종신,LHF6395R
3,김준연,B7963485
3,김지준,V4K7622Z
3,김지태,BGH8118T
3,김진만,4CS27498
3,김창수,LMY13155
3,김철,QW04133V
3,김철안,KX03754G
3,김철주,O888474L
3,김춘호,45X4113W
3,김택술,TLD8163I
3,김판술,AWR6261O
3,김형덕,2QA3782S
3,김홍식,8EW4343N
3,나창헌,5LZ5693D
3,나희집,6EH6017P
3,남송학,OQ15529M
3,도진희,2IY2290Y
3,문종두,RWS84983
3,민관식,IFZ22975
3,민영남,ME56811B
3,박기운,UC77337T
3,박만원,6M29799L
3,박세경,SY93161O
3,박순석,4J092952
3,박영교,KRL7908R
3,박영종,QIK91983
3,박영출,8WM9282F
3,박용익,8Y02595O
3,박재홍,Y4C5250N
3,박정근,FBR20229
3,박종길,VVU5942X
3,박해정,0KQ3355X
3,박흥규,RJ65769E
3,백남식,56M1611B
3,변진갑,TWE1466J
3,서동진,ZL442005
3,서인홍,0W48806K
3,성원경,XZU6494Q
3,소선규,WYS77814
3,손권배,K8A2769U
3,손도심,JIM7928G
3,손문경,BV525478
3,손석두,C8H16331
3,손준현,HFC76443
3,송경섭,ZDM90606
3,송방용,S752850H
3,송우범,0125591Q
3,신각휴,GPM7798P
3,신규식,GVH5135I
3,신도성,C6C3484Q
3,신용욱,BN478490
3,신의식,YE180486
3,신익희,EWG10700
3,신정호,YLK9131H
3,신태권,TLR8316E
3,신하균,BCA49185
3,신행용,JA576115
3,안동준,C6F2967H
3,안준기,CIS4773L
3,양영주,R7S1031B
3,양일동,7ZS40934
3,염우량,K7P3215M
3,오재영,OGU6663Z
3,오형근,KVC37398
3,유봉순,Z2X38669
3,유순식,VJI5607W
3,유옥우,BZC2787S
3,유지원,NMO2287E
3,유진산,T7T8359U
3,육완국,OU828223
3,윤만석,Z6869940
3,윤병호,QPN4854H
3,윤보선,01B9062T
3,윤성순,LOB2889Z
3,윤용구,C9D12588
3,윤일상,HZM5927F
3,윤재욱,K5961516
3,윤제술,J2O5434U
3,윤치영,41C1267K
3,윤형남,FJU47480
3,이갑식,SDZ7941A
3,이기붕,K7142284
3,이병홍,JDX3877A
3,이복성,QHN74829
3,이석기,P4U4707W
3,이성주,VVR9014X
3,이영섭,F9L1467L
3,이영언,Z032043S
3,이영희,R4T6466C
3,이용범,IER8832Z
3,이우출,7CO67428
3,이인,M0587960
3,이재학,VLY2436D
3,이정휴,QA449734
3,이정희,RN26636V
3,이존화,8EZ7714G
3,이종수,6DA2612K
3,이철승,6PV4212U
3,이충환,ZXL9063Y
3,이태용,E0N2954V
3,이학림,ZAR9602M
3,이협우,SC99825C
3,이형모,KJT7673K
3,이형진,5958302E
3,인태식,3MF9619J
3,임우영,32269259
3,임차주,4UE4157N
3,임흥순,0ZZ4006Q
3,장경근,QEO2121V
3,장석윤,CRD1721O
3,장영근,55T8760B
3,장택상,JKP8632F
3,전만중,A5W54096
3,전상요,DIS1418O
3,전진한,WGG9113S
3,정갑주,2B16119S
3,정규상,4FO16446
3,정기원,U9P5175A
3,정대천,BL032432
3,정명선,P163012S
3,정명섭,Z457542X
3,정문흠,ONF9011U
3,정상열,CBY2504E
3,정성태,3ZY8842T
3,정세환,QI74844U
3,정일형,Q699375L
3,정재완,Q5O2470M
3,정존수,A7I4124C
3,정준,9G19731F
3,정준모,2GQ2527Q
3,정중섭,KUY49253
3,정해영,35G1176L
3,조경규,8PS6768V
3,조만종,0ZA5292Q
3,조병문,F1818051
3,조병옥,12C72662
3,조순,Z663618L
3,조영규,OI72712W
3,조재천,1AT5639X
3,지영진,SFQ3609C
3,천세기,ZW563263
3,최갑환,7NQ8935D
3,최병국,5CW7597F
3,최병권,16U2760I
3,최순주,H5O71577
3,최영철,EMK10069
3,최용근,R3W4686C
3,최창섭,0RV56457
3,최천,SHS9947V
3,표양문,5HK7187K
3,하을춘,0309287O
3,하태환,HV14991C
3,한동석,YMG7827K
3,한희석,OQO9849Q
3,함두영,JAM9884F
3,함재훈,FQL8124R
3,현석호,W3A5272E
3,홍순철,NJR40626
3,홍창섭,8RQ4116H
3,황경수,GBU7356K
3,황남팔,26E77158
3,황성수,F5A5259M
4,강성태,7D558796
4,강영훈,HF088064
4,강종무,2112111J
4,계광순,8FK1860S
4,고담용,S5Q7808I
4,곽상훈,7GP9235Q
4,곽의영,V8A6249O
4,구철회,D2Y1484N
4,구태회,S903593H
4,구흥남,JYI19502
4,국쾌남,E6X6144N
4,권복인,49282263
4,권오종,8MI34542
4,권중돈,L7X5327D
4,김공평,V9I95643
4,김규만,BCO76155
4,김도연,02E7012K
4,김동석,UHG5943I
4,김동욱,PVZ78650
4,김두진,CEL9780D
4,김병순,9HG7146S
4,김삭,8OI18443
4,김상도,9AH17628
4,김상돈,B5N4494M
4,김석진,VRD1960B
4,김선우,QZ24460V
4,김선태,9AY9596P
4,김성곤,FCE8204Q
4,김성탁,35C3600V
4,김용진,DQU56381
4,김우동,A3G7464L
4,김원규,OM981305
4,김원만,6W47398I
4,김원전,V8G24132
4,김원중,UKP8791T
4,김원태,QVM2127M
4,김응주,IAJ7601G
4,김의준,FY962400
4,김의택,QHN2542J
4,김익기,Q0G1675P
4,김익노,ALP55797
4,김인호,0FI5654U
4,김장섭,LBW3224V
4,김재곤,5GF49809
4,김재위,MD021272
4,김정근,NOT24186
4,김정기,6AB6967Z
4,김정환,17B60439
4,김종철,A3067041
4,김주묵,5094967K
4,김준연,B7963485
4,김진만,4CS27498
4,김진원,80T5305Q
4,김창동,GAB3309S
4,김철안,KX03754G
4,김학준,NJE79330
4,김향수,FAW6394Q
4,김형돈,QYO4841Y
4,김형섭,P1A7319F
4,김훈,KVS3365C
4,나상근,CBC6062B
4,나용균,1C747415
4,나판수,9U96592M
4,류홍,B6M4773K
4,문종두,RWS84983
4,민관식,IFZ22975
4,민장식,TXE85564
4,박덕영,YPM6195K
4,박만원,6M29799L
4,박병배,XQI3226N
4,박상길,ACV1284I
4,박세경,SY93161O
4,박순석,4J092952
4,박순천,9PW85797
4,박영교,KRL7908R
4,박용익,8Y02595O
4,박종길,VVU5942X
4,박찬현,WNK5943X
4,박창화,4QB7640A
4,박철웅,NC58544B
4,박충모,11C83047
4,박충식,NNI13192
4,박해정,0KQ3355X
4,박현숙,1PM2680D
4,박흥규,RJ65769E
4,반재현,12S4576K
4,배성기,P0K1472B
4,변진갑,TWE1466J
4,서범석,XWY90381
4,서임수,AU89688O
4,서정귀,SJE9116Z
4,서한두,0G289671
4,손도심,JIM7928G
4,손문경,BV525478
4,손석두,C8H16331
4,손영수,2NC1044M
4,손재형,4Q82914S
4,송영주,YKY4724R
4,신규식,GVH5135I
4,신도환,MW81180N
4,신영주,J1D5637T
4,안균섭,TO87025R
4,안덕기,PV57461D
4,안용대,NL76279R
4,안용백,4PI9202R
4,양일동,7ZS40934
